Time (Year),fco2nat
2009,0.64876
2010,0.30267
2011,2.9695
2012,4.3825400000000005
2013,3.4232
2014,-0.25345
2015,2.3993
2016,2.28783
2017,2.48735
2018,-0.40392
2019,3.20315
2020,2.82943
2021,1.8930200000000001
2022,-0.41483000000000003
2023,3.1600200000000003
2024,1.51444
2025,-0.7662100000000001
2026,3.53482
2027,2.9760299999999997
2028,2.47641
2029,0.036410000000000005
2030,1.73662
2031,2.753
2032,2.5514200000000002
2033,-0.29562
2034,0.03305
2035,3.24795
2036,2.7086099999999997
2037,2.5268200000000003
2038,-2.7279
2039,0.95378
2040,3.4669800000000004
2041,3.17238
2042,0.40297
2043,-1.49285
2044,0.6583899999999999
2045,1.86893
2046,1.69029
2047,2.00232
2048,-0.68505
2049,-1.5727200000000001
2050,1.8678599999999999
2051,4.21631
2052,2.53508
2053,-1.23186
2054,0.77468
2055,2.48368
2056,2.60143
2057,-1.60893
2058,0.50258
2059,3.34007
2060,2.86564
2061,1.78875
2062,-1.9664400000000002
2063,1.99678
2064,4.10203
2065,1.4591100000000001
2066,-1.36115
2067,1.80719
2068,1.53145
2069,2.31251
2070,-1.37907
2071,1.56027
2072,3.6332199999999997
2073,3.2671900000000003
2074,-0.22926
2075,-1.8046
2076,0.33547
2077,2.66798
2078,1.6866700000000001
2079,-2.10026
2080,0.13360999999999998
2081,3.0533799999999998
2082,2.43851
2083,-0.74752
2084,0.09252
2085,2.3952400000000003
2086,2.68755
2087,-0.8925799999999999
2088,-0.25178
2089,2.88505
2090,3.16371
2091,-0.43415
2092,-0.4238
2093,2.1510700000000003
2094,3.43128
2095,0.51655
2096,-0.76115
2097,1.7822099999999998
2098,2.44958
2099,1.5548899999999999
2100,-1.43582
2101,1.0093299999999998
2102,2.69292
2103,2.5080299999999998
2104,1.45874
2105,-2.17863
2106,1.1405100000000001
2107,0.6613399999999999
2108,-1.8629200000000001
2109,-1.74805
2110,1.58618
2111,1.3128600000000001
2112,2.0842
2113,-1.0899
2114,1.12087
2115,2.02628
2116,2.6367
2117,-1.54869
2118,0.48741999999999996
2119,2.7166200000000003
2120,3.24749
2121,-1.14996
2122,1.28224
2123,2.66035
2124,4.0420300000000005
2125,0.04448
2126,-1.8283
2127,2.67047
2128,3.11766
2129,3.06813
2130,-1.9717900000000002
2131,0.86866
2132,3.14229
2133,1.5459399999999999
2134,-0.89586
2135,0.08502
2136,1.39113
2137,1.6518700000000002
2138,2.24043
2139,-2.92433
2140,1.31902
2141,3.22133
2142,3.01153
2143,-2.3043400000000003
2144,0.39091
2145,1.75997
2146,1.04148
2147,-2.1896299999999997
2148,1.4389299999999998
2149,2.41073
2150,3.52106
2151,-0.61654
2152,-1.46084
2153,3.27955
2154,3.31123
2155,0.27254
2156,-2.45172
2157,1.9524700000000001
2158,3.17097
2159,1.1922700000000002
2160,-0.78474
